# schema_version=1
# release=0.1.0
# platform=macOS-arm64
# homebrew_platform=arm64_tahoe
# homebrew_core_commit=4bbf4913366f70fe64c5eb1a0eef72b86fc17bdd
# generated_from=dist/macos/Chess.app
# The bottle SHA identifies the Homebrew binary used before install-name rewriting and signing.
# Cairo is the exception: it is built by scripts/build-macos-cairo-no-lzo.sh from verified source.
component	package_version	upstream_version	build_origin	bundled_dylibs	distributed_license	source_url	source_sha256	bottle_sha256	formula_path	formula_sha256	scope_note
cairo	1.18.4	1.18.4	custom-source-build	libcairo.2.dylib,libcairo-gobject.2.dylib,libcairo-script-interpreter.2.dylib	MPL-1.1	https://cairographics.org/releases/cairo-1.18.4.tar.xz	445ed8208a6e4823de1226a74ca319d3600e83f6369f99b14265006599c32ccb	not-used	Formula/c/cairo.rb	a852b6bcc03f0bd734f8bdee3bf28af2be91026e65a8328c1e0ace905005bd61	MPL-1.1 selected from LGPL-2.1-only OR MPL-1.1; built with -Dlzo=disabled
cairomm	1.18.1	1.18.1	homebrew-bottle	libcairomm-1.16.1.dylib	LGPL-2.0-or-later	https://cairographics.org/releases/cairomm-1.18.1.tar.xz	e0e996a979ee52c840dca3ee74f5d005e3259b94ddce58f255d3b6f47c8cb41d	78d38524e50cf3e9e3157639a00c001d718a2f19a6886ad26c2e903c67c0e1cc	Formula/c/cairomm.rb	a36344cc968bb138b52515ee0565d17d9f666946b2fff28e0f1234a1dbd5f767	Dynamic library
fontconfig	2.18.2	2.18.2	homebrew-bottle	libfontconfig.1.dylib	HPND-sell-variant AND Unicode-3.0 AND MIT-Modern-Variant AND MIT AND LicenseRef-Homebrew-public-domain	https://gitlab.freedesktop.org/fontconfig/fontconfig/-/archive/2.18.2/fontconfig-2.18.2.tar.gz	a84d41b57cfb015783d7973b398c26d8763a64b803f97f31fa126fd2aa5eaaca	75e19bf0d345662b39fc75781a71f3eb3c923a313a4f906c2f93a1a769846a3d	Formula/f/fontconfig.rb	0d341a3f865525a116a57b1300e0c4c3d8819ee7172932dab76fb549e7a9ddd3	Dynamic library
freetype	2.14.3	2.14.3	homebrew-bottle	libfreetype.6.dylib	FTL	https://downloads.sourceforge.net/project/freetype/freetype2/2.14.3/freetype-2.14.3.tar.xz	36bc4f1cc413335368ee656c42afca65c5a3987e8768cc28cf11ba775e785a5f	449e22351da81ba5c8c398f87c295decac6b396bd6fab54becbb3d18800b62d1	Formula/f/freetype.rb	9d3ea68e58d204cb55a0750e7705422968d6f69867ebc51952fcb37a68c4b713	Dynamic library
fribidi	1.0.16	1.0.16	homebrew-bottle	libfribidi.0.dylib	LGPL-2.1-or-later	https://github.com/fribidi/fribidi/releases/download/v1.0.16/fribidi-1.0.16.tar.xz	1b1cde5b235d40479e91be2f0e88a309e3214c8ab470ec8a2744d82a5a9ea05c	4f6b90cece7f5eb2491a4938689366c84e5cba64e4a99009f20c92aaf341d186	Formula/f/fribidi.rb	0d72430796d7deea00b762f265eb14cbf7eeb20778061944646f1d796ceee9c2	Only the LGPL library is bundled; GPL command-line tools from the source package are not bundled
gdk-pixbuf	2.44.7	2.44.7	homebrew-bottle	libgdk_pixbuf-2.0.0.dylib	LGPL-2.1-or-later	https://download.gnome.org/sources/gdk-pixbuf/2.44/gdk-pixbuf-2.44.7.tar.xz	172f80e3626ec31520a970400f1a3694e04718f6c2cd2885f75250fb5a6995a4	cd4fd8a86348bfee4bf256f152b531c0d288240f9656a07bf0ab7d10f06140e8	Formula/g/gdk-pixbuf.rb	d0ca333a4e11f9d228804d12a3251ce27f266dd8e785ffba9a4ba1e839131288	Dynamic library
gettext	1.0	1.0	homebrew-bottle	libintl.8.dylib	LGPL-2.1-or-later	https://ftp.gnu.org/pub/gnu/gettext/gettext-1.0.tar.gz	85d99b79c981a404874c02e0342176cf75c7698e2b51fe41031cf6526d974f1a	2b713227e438f51d025d76df24cfa45a2b813b61718df7bb91a6cedb1091037b	Formula/g/gettext.rb	bd0322f7114c68dd627c974ec16ceaa6295bf68eac55995ee2dfb59ce6fefd51	Only libintl is bundled; GPL gettext tools are not bundled
glib	2.88.2	2.88.2	homebrew-bottle	libglib-2.0.0.dylib,libgio-2.0.0.dylib,libgmodule-2.0.0.dylib,libgobject-2.0.0.dylib	LGPL-2.1-or-later	https://download.gnome.org/sources/glib/2.88/glib-2.88.2.tar.xz	cf3f215a640c8a4257f14317586b8f1fdd25a10a93cb4bdda147c0f9ad88e74f	f8f2828c8899559379018e7d1dbade2e0b41b35239772c1b8469e5083623b139	Formula/g/glib.rb	1d7b18216c176695eeeb0cf749bf53309875ea0f20de89717ef6a1873857df98	Dynamic libraries
glibmm	2.88.1	2.88.1	homebrew-bottle	libglibmm-2.68.1.dylib,libgiomm-2.68.1.dylib	LGPL-2.1-or-later	https://download.gnome.org/sources/glibmm/2.88/glibmm-2.88.1.tar.xz	c139f962b1575c8827cd39d1ac21b7a367be3bda1409c0c7e21a29090f371506	1820b1d736061b49c2b659e70809dcc79acdc47d5229d58ec19fcf9081565d70	Formula/g/glibmm.rb	d5728fe2551f0c61c00db25a9358124377e096f968ee82cfb7eb35e9eb83c5ff	Dynamic libraries
graphene	1.10.8	1.10.8	homebrew-bottle	libgraphene-1.0.0.dylib	MIT	https://github.com/ebassi/graphene/archive/refs/tags/1.10.8.tar.gz	922dc109d2dc5dc56617a29bd716c79dd84db31721a8493a13a5f79109a4a4ed	b6625af7453d52f016d1218f609bc2044066b81331b90a1536522441b7919816	Formula/g/graphene.rb	b6f294393b345dfebba7aa0b9d2ac96e2c3e2698b7447aeb580ba45b80203749	Dynamic library
